trade_id,customer_id,trade_date,settlement_date,symbol,security_name,asset_class,trade_type,quantity,price,total_amount,currency,exchange,order_type,status,broker_id,account_type,commission,fees,net_amount
TRD00023,CUST039,2024-11-12,2024-11-14,CVX,Chevron Corp,Equity,SELL,110,148.60,16346.00,USD,NYSE,Market,Settled,BRK001,Joint,16.35,5.00,16324.65
TRD00024,CUST010,2024-11-12,2024-11-14,HD,Home Depot,Equity,BUY,40,315.70,12628.00,USD,NYSE,Stop,Settled,BRK002,Individual,12.63,5.00,12645.63
TRD00025,CUST035,2024-11-13,2024-11-15,ABBV,AbbVie Inc,Equity,BUY,70,152.90,10703.00,USD,NYSE,Market,Settled,BRK003,Individual,10.70,5.00,10718.70
TRD00026,CUST049,2024-11-13,2024-11-15,MRK,Merck & Co,Equity,SELL,85,108.25,9201.25,USD,NYSE,Limit,Settled,BRK001,Trust,9.20,5.00,9187.05
TRD00027,CUST014,2024-11-14,2024-11-18,AMD,Advanced Micro Devices,Equity,BUY,120,122.40,14688.00,USD,NASDAQ,Market,Settled,BRK002,Individual,14.69,5.00,14707.69
TRD00028,CUST007,2024-11-14,2024-11-18,PFE,Pfizer Inc,Equity,BUY,300,28.95,8685.00,USD,NYSE,Market,Settled,BRK003,Trust,8.69,5.00,8698.69
TRD00029,CUST029,2024-11-15,2024-11-19,COST,Costco Wholesale,Equity,SELL,25,592.30,14807.50,USD,NASDAQ,Stop,Settled,BRK001,Individual,14.81,5.00,14787.69
TRD00030,CUST043,2024-11-15,2024-11-19,BA,Boeing Co,Equity,BUY,60,198.45,11907.00,USD,NYSE,Market,Settled,BRK002,Individual,11.91,5.00,11923.91
TRD00031,CUST020,2024-11-16,2024-11-20,DIS,Walt Disney Co,Equity,BUY,80,92.60,7408.00,USD,NYSE,Limit,Settled,BRK003,Individual,7.41,5.00,7420.41
TRD00032,CUST004,2024-11-16,2024-11-20,NFLX,Netflix Inc,Equity,SELL,35,475.80,16653.00,USD,NASDAQ,Market,Settled,BRK001,Individual,16.65,5.00,16631.35
TRD00033,CUST025,2024-11-17,2024-11-21,CRM,Salesforce Inc,Equity,BUY,50,228.15,11407.50,USD,NYSE,Market,Settled,BRK002,Individual,11.41,5.00,11423.91
TRD00034,CUST050,2024-11-17,2024-11-21,INTC,Intel Corp,Equity,BUY,250,38.20,9550.00,USD,NASDAQ,Limit,Settled,BRK003,Individual,9.55,5.00,9564.55
TRD00035,CUST016,2024-11-18,2024-11-20,WMT,Walmart Inc,Equity,BUY,55,162.35,8929.25,USD,NYSE,Market,Settled,BRK001,Individual,8.93,5.00,8943.18
TRD00036,CUST038,2024-11-18,2024-11-20,ADBE,Adobe Inc,Equity,SELL,30,548.90,16467.00,USD,NASDAQ,Stop,Settled,BRK002,Individual,16.47,5.00,16445.53
TRD00037,CUST012,2024-11-19,2024-11-21,VZ,Verizon Communications,Equity,BUY,200,37.85,7570.00,USD,NYSE,Market,Settled,BRK003,Individual,7.57,5.00,7582.57
TRD00038,CUST046,2024-11-19,2024-11-21,T,AT&T Inc,Equity,BUY,350,16.90,5915.00,USD,NYSE,Limit,Settled,BRK001,Individual,5.92,5.00,5925.92
TRD00039,CUST022,2024-11-20,2024-11-22,NEE,NextEra Energy,Equity,BUY,100,62.40,6240.00,USD,NYSE,Market,Settled,BRK002,Individual,6.24,5.00,6251.24
TRD00040,CUST030,2024-11-20,2024-11-22,SO,Southern Company,Equity,SELL,120,72.15,8658.00,USD,NYSE,Market,Settled,BRK003,Individual,8.66,5.00,8644.34
TRD00041,CUST048,2024-11-21,2024-11-25,SCHD,Schwab US Dividend Equity,ETF,BUY,200,76.80,15360.00,USD,NYSE,Market,Settled,BRK001,Individual,15.36,5.00,15380.36
TRD00042,CUST026,2024-11-21,2024-11-25,VNQ,Vanguard Real Estate ETF,ETF,BUY,150,82.45,12367.50,USD,NYSE,Limit,Settled,BRK002,Individual,12.37,5.00,12384.87
TRD00043,CUST034,2024-11-22,2024-11-26,COIN,Coinbase Global,Equity,BUY,40,128.70,5148.00,USD,NASDAQ,Market,Pending,BRK003,Individual,5.15,5.00,5158.15
TRD00044,CUST018,2024-11-22,2024-11-26,SQ,Block Inc,Equity,SELL,75,52.30,3922.50,USD,NYSE,Stop,Pending,BRK001,Individual,3.92,5.00,3913.58
TRD00045,CUST040,2024-11-23,2024-11-27,HYG,iShares High Yield Corp Bond,Fixed Income,BUY,250,75.60,18900.00,USD,NYSE,Market,Pending,BRK002,Individual,18.90,5.00,18923.90
TRD00046,CUST032,2024-11-23,2024-11-27,LQD,iShares Investment Grade Bond,Fixed Income,BUY,180,108.35,19503.00,USD,NYSE,Limit,Pending,BRK003,Individual,19.50,5.00,19527.50
TRD00047,CUST044,2024-11-24,2024-11-28,PLTR,Palantir Technologies,Equity,BUY,200,19.85,3970.00,USD,NYSE,Market,Pending,BRK001,Individual,3.97,5.00,3978.97
TRD00048,CUST028,2024-11-24,2024-11-28,RIVN,Rivian Automotive,Equity,BUY,150,16.40,2460.00,USD,NASDAQ,Limit,Pending,BRK002,Individual,2.46,5.00,2467.46
TRD00049,CUST036,2024-11-25,,EEM,iShares MSCI Emerging Markets,ETF,BUY,300,39.75,11925.00,USD,NYSE,Market,Submitted,BRK003,Individual,11.93,5.00,11941.93
TRD00050,CUST042,2024-11-25,,IWM,iShares Russell 2000 ETF,ETF,SELL,100,185.20,18520.00,USD,NYSE,Market,Submitted,BRK001,Individual,18.52,5.00,18496.48
