entity_id,fiscal_period_id,fiscal_year,total_assets,total_liabilities,total_equity,cash_and_equivalents,total_debt,currency,value_usd_total_assets
JPM-US,JPM-US_FY2024_A,2024,1980240.0,1579381.7,400858.3,178221.6,1378952.6,USD,1980240.0
JPM-US,JPM-US_FY2025_A,2025,2067264.0,1551736.8,515527.2,310089.6,1293973.2,USD,2067264.0
UNH-US,UNH-US_FY2023_A,2023,428321.0,259024.2,169296.8,77097.8,174375.7,USD,428321.0
UNH-US,UNH-US_FY2024_A,2024,796597.0,484206.0,312391.0,127455.5,328010.5,USD,796597.0
UNH-US,UNH-US_FY2025_A,2025,588441.0,365546.7,222894.3,147110.2,254099.5,USD,588441.0
WMT-US,WMT-US_FY2023_A,2023,486093.8,277469.8,208623.9,63192.2,173157.9,USD,486093.8
WMT-US,WMT-US_FY2024_A,2024,524981.2,377099.2,147882.0,57747.9,303158.2,USD,524981.2
WMT-US,WMT-US_FY2025_A,2025,687012.5,493487.9,193524.6,54961.0,396725.5,USD,687012.5
XOM-US,XOM-US_FY2023_A,2023,286003.1,173845.0,112158.1,31460.3,117766.0,USD,286003.1
XOM-US,XOM-US_FY2024_A,2024,317015.4,202981.1,114034.3,25361.2,145963.9,USD,317015.4
XOM-US,XOM-US_FY2025_A,2025,444510.8,275495.3,169015.5,48896.2,190987.5,USD,444510.8
JNJ-US,JNJ-US_FY2023_A,2023,90268.5,57797.8,32470.7,15345.7,41562.5,USD,90268.5
JNJ-US,JNJ-US_FY2024_A,2024,109855.1,56004.6,53850.5,14281.2,29079.3,USD,109855.1
JNJ-US,JNJ-US_FY2025_A,2025,88565.4,58338.3,30227.1,15941.8,43224.7,USD,88565.4
V-US,V-US_FY2023_A,2023,534938.1,455805.3,79132.9,42795.1,416238.8,USD,534938.1
V-US,V-US_FY2024_A,2024,450152.8,353345.7,96807.0,40513.8,304942.2,USD,450152.8
V-US,V-US_FY2025_A,2025,460212.1,407253.2,52958.8,36817.0,380773.8,USD,460212.1
PG-US,PG-US_FY2023_A,2023,56306.1,37089.0,19217.1,7882.9,27480.5,USD,56306.1
PG-US,PG-US_FY2024_A,2024,88240.9,65141.2,23099.7,7941.7,53591.4,USD,88240.9
PG-US,PG-US_FY2025_A,2025,99166.0,67584.5,31581.5,9916.6,51793.7,USD,99166.0
HD-US,HD-US_FY2023_A,2023,270733.2,173347.1,97386.0,48732.0,124654.1,USD,270733.2
HD-US,HD-US_FY2024_A,2024,240826.6,127229.1,113597.4,36124.0,70430.4,USD,240826.6
HD-US,HD-US_FY2025_A,2025,254992.9,164569.9,90423.0,30599.1,119358.4,USD,254992.9
BAC-US,BAC-US_FY2023_A,2023,589280.0,510393.8,78886.2,47142.4,470950.7,USD,589280.0
BAC-US,BAC-US_FY2024_A,2024,1120648.0,935722.6,184925.4,134477.8,843259.9,USD,1120648.0
BAC-US,BAC-US_FY2025_A,2025,865632.0,634796.8,230835.2,121188.5,519379.2,USD,865632.0
KO-US,KO-US_FY2023_A,2023,38119.4,28589.6,9529.9,3049.6,23824.6,USD,38119.4
KO-US,KO-US_FY2024_A,2024,56002.6,41679.7,14322.9,3360.2,34518.2,USD,56002.6
KO-US,KO-US_FY2025_A,2025,46119.8,30325.3,15794.4,5995.6,22428.1,USD,46119.8
APLE-US,APLE-US_FY2023_A,2023,2027.6,1436.5,591.1,202.8,1140.9,USD,2027.6
APLE-US,APLE-US_FY2024_A,2024,1931.7,1322.3,609.4,154.5,1017.6,USD,1931.7
APLE-US,APLE-US_FY2025_A,2025,1191.9,815.9,376.0,143.0,627.9,USD,1191.9
DAL-US,DAL-US_FY2023_A,2023,72730.5,47211.0,25519.5,10909.6,34451.3,USD,72730.5
DAL-US,DAL-US_FY2024_A,2024,91221.3,64548.4,26672.9,10946.6,51211.9,USD,91221.3
DAL-US,DAL-US_FY2025_A,2025,96152.2,62532.5,33619.6,13461.3,45722.7,USD,96152.2
DELT-TW,DELT-TW_FY2023_A,2023,437400.0,243000.0,194400.0,87480.0,145800.0,TWD,13559.4
DELT-TW,DELT-TW_FY2024_A,2024,356400.0,202114.3,154285.7,89100.0,124971.4,TWD,11048.4
DELT-TW,DELT-TW_FY2025_A,2025,433350.0,235473.3,197876.7,86670.0,136534.9,TWD,13433.9
GS-US,GS-US_FY2023_A,2023,410096.0,343737.4,66358.6,61514.4,310558.1,USD,410096.0
GS-US,GS-US_FY2024_A,2024,424125.6,377000.5,47125.1,42412.6,353438.0,USD,424125.6
GS-US,GS-US_FY2025_A,2025,336170.8,297171.9,38998.9,33617.1,277672.4,USD,336170.8
BRK.A-US,BRK.A-US_FY2023_A,2023,5201482.0,4358454.1,843027.9,312088.9,3936940.2,USD,5201482.0
BRK.A-US,BRK.A-US_FY2024_A,2024,4394676.0,3881878.3,512797.7,351574.1,3625479.5,USD,4394676.0
BRK.A-US,BRK.A-US_FY2025_A,2025,3149146.0,2339596.9,809549.1,314914.6,1934822.3,USD,3149146.0
NKE-US,NKE-US_FY2023_A,2023,86801.8,60337.8,26464.0,14756.3,47105.8,USD,86801.8
NKE-US,NKE-US_FY2024_A,2024,88856.3,58837.3,30019.0,15994.1,43827.7,USD,88856.3
NKE-US,NKE-US_FY2025_A,2025,67284.2,36419.9,30864.3,6728.4,20987.7,USD,67284.2
FDX-US,FDX-US_FY2023_A,2023,82431.4,56590.8,25840.6,6594.5,43670.6,USD,82431.4
FDX-US,FDX-US_FY2024_A,2024,118385.6,71959.8,46425.7,21309.4,48747.0,USD,118385.6
FDX-US,FDX-US_FY2025_A,2025,118385.6,77842.6,40543.0,10654.7,57571.1,USD,118385.6
COST-US,COST-US_FY2023_A,2023,200840.1,150630.1,50210.0,24100.8,125525.1,USD,200840.1
COST-US,COST-US_FY2024_A,2024,233889.8,169100.4,64789.4,30405.7,136705.6,USD,233889.8
COST-US,COST-US_FY2025_A,2025,162705.9,121514.5,41191.4,17897.7,100918.9,USD,162705.9
ACN-US,ACN-US_FY2023_A,2023,72274.3,40575.1,31699.3,15900.4,24725.4,USD,72274.3
ACN-US,ACN-US_FY2024_A,2024,91807.9,52740.7,39067.2,25706.2,33207.1,USD,91807.9
ACN-US,ACN-US_FY2025_A,2025,60554.2,36137.2,24417.0,14533.0,23928.7,USD,60554.2
FIS-US,FIS-US_FY2023_A,2023,14126.4,6449.0,7677.4,2401.5,2610.3,USD,14126.4
FIS-US,FIS-US_FY2024_A,2024,8927.1,4277.6,4649.5,1874.7,1952.8,USD,8927.1
FIS-US,FIS-US_FY2025_A,2025,12753.0,6501.5,6251.5,4336.0,3375.8,USD,12753.0
7203-JP,7203-JP_FY2023_A,2023,7.6211733E7,5.29053926E7,2.33063404E7,8383290.6,4.12522224E7,JPY,510618.6
7203-JP,7203-JP_FY2024_A,2024,6.4937808E7,4.19915861E7,2.29462219E7,6493780.8,3.05184751E7,JPY,435083.3
7203-JP,7203-JP_FY2025_A,2025,4.960527E7,3.18891021E7,1.77161679E7,6944737.8,2.30310182E7,JPY,332355.3
SAP-DE,SAP-DE_FY2023_A,2023,31441.9,18660.7,12781.3,5659.5,12270.0,EUR,33957.3
SAP-DE,SAP-DE_FY2024_A,2024,43061.8,24339.3,18722.5,11626.7,14978.0,EUR,46506.7
SAP-DE,SAP-DE_FY2025_A,2025,47504.6,25813.0,21691.6,15201.5,14967.2,EUR,51305.0
HSBA-GB,HSBA-GB_FY2023_A,2023,348744.0,256239.0,92505.0,38361.8,209986.4,GBP,442904.9
HSBA-GB,HSBA-GB_FY2024_A,2024,711358.5,615358.7,95999.8,92476.6,567358.8,GBP,903425.3
HSBA-GB,HSBA-GB_FY2025_A,2025,605678.5,523048.4,82630.1,60567.9,481733.4,GBP,769211.7
NESN-CH,NESN-CH_FY2023_A,2023,89525.0,57437.2,32087.8,13428.7,41393.3,CHF,101163.2
NESN-CH,NESN-CH_FY2024_A,2024,81303.3,59149.8,22153.5,9756.4,48073.1,CHF,91872.7
NESN-CH,NESN-CH_FY2025_A,2025,71254.6,41810.5,29444.0,4275.3,27088.5,CHF,80517.7
005930-KR,005930-KR_FY2023_A,2023,2.8741785E8,1.531104435E8,1.343074065E8,5.46093915E7,8.59567402E7,KRW,215563.4
005930-KR,005930-KR_FY2024_A,2024,3.159007E8,1.595142149E8,1.563864851E8,9.1611203E7,8.13209723E7,KRW,236925.5
005930-KR,005930-KR_FY2025_A,2025,3.3920485E8,1.978694958E8,1.413353542E8,1.187216975E8,1.272018188E8,KRW,254403.6
AZN-GB,AZN-GB_FY2023_A,2023,56246.9,32514.0,23732.9,10124.4,20647.6,GBP,71433.5
AZN-GB,AZN-GB_FY2024_A,2024,65704.3,39103.4,26600.9,9198.6,25802.9,GBP,83444.5
AZN-GB,AZN-GB_FY2025_A,2025,62220.0,32591.4,29628.6,8710.8,17777.1,GBP,79019.4
SHEL-GB,SHEL-GB_FY2023_A,2023,301098.0,186175.1,114922.9,21076.9,128713.6,GBP,382394.5
SHEL-GB,SHEL-GB_FY2024_A,2024,396774.0,213082.3,183691.7,27774.2,121236.5,GBP,503903.0
SHEL-GB,SHEL-GB_FY2025_A,2025,337680.0,191498.2,146181.8,33768.0,118407.3,GBP,428853.6
TTE-FR,TTE-FR_FY2023_A,2023,251735.0,151442.2,100292.8,20138.8,101295.8,EUR,271873.8
TTE-FR,TTE-FR_FY2024_A,2024,223278.0,112744.3,110533.7,26793.4,57477.5,EUR,241140.2
TTE-FR,TTE-FR_FY2025_A,2025,251735.0,166975.7,84759.3,17621.5,124596.1,EUR,271873.8
NOVO-DK,NOVO-DK_FY2023_A,2023,392276.2,200922.0,191354.3,66687.0,105244.8,DKK,56880.1
NOVO-DK,NOVO-DK_FY2024_A,2024,546281.0,340137.2,206143.8,92867.8,237065.3,DKK,79210.7
NOVO-DK,NOVO-DK_FY2025_A,2025,447485.5,290473.0,157012.5,71597.7,211966.8,DKK,64885.4
RY-CA,RY-CA_FY2023_A,2023,784865.4,685136.7,99728.8,102032.5,635272.3,CAD,580800.4
RY-CA,RY-CA_FY2024_A,2024,491818.7,408459.6,83359.1,54100.1,366780.1,CAD,363945.9
RY-CA,RY-CA_FY2025_A,2025,394704.4,336829.9,57874.5,23682.3,307892.6,CAD,292081.3
SNPS-US,SNPS-US_FY2023_A,2023,7046.0,4034.9,3011.1,1479.7,2529.4,USD,7046.0
SNPS-US,SNPS-US_FY2024_A,2024,9129.2,5125.2,4004.0,1552.0,3123.2,USD,9129.2
SNPS-US,SNPS-US_FY2025_A,2025,9068.0,4708.4,4359.6,2811.1,2528.6,USD,9068.0
CDNS-US,CDNS-US_FY2023_A,2023,4825.6,2864.0,1961.6,1447.7,1883.2,USD,4825.6
CDNS-US,CDNS-US_FY2024_A,2024,4361.6,2342.3,2019.3,1090.4,1332.7,USD,4361.6
CDNS-US,CDNS-US_FY2025_A,2025,3851.2,1824.3,2026.9,847.3,810.8,USD,3851.2
MCHP-US,MCHP-US_FY2023_A,2023,6135.9,3241.6,2894.3,1656.7,1794.5,USD,6135.9
MCHP-US,MCHP-US_FY2024_A,2024,6298.8,3195.9,3102.9,1700.7,1644.5,USD,6298.8
MCHP-US,MCHP-US_FY2025_A,2025,4941.3,2956.8,1984.5,1482.4,1964.6,USD,4941.3
KEYS-US,KEYS-US_FY2023_A,2023,5029.8,2564.2,2465.6,1609.5,1331.4,USD,5029.8
KEYS-US,KEYS-US_FY2024_A,2024,5826.6,3293.3,2533.3,1223.6,2026.6,USD,5826.6
KEYS-US,KEYS-US_FY2025_A,2025,6822.6,3510.7,3311.9,1910.3,1854.7,USD,6822.6
IT-US,IT-US_FY2023_A,2023,9007.0,4931.5,4075.6,2792.2,2893.7,USD,9007.0
IT-US,IT-US_FY2024_A,2024,7919.0,4445.7,3473.2,1267.0,2709.1,USD,7919.0
IT-US,IT-US_FY2025_A,2025,6830.8,4076.5,2754.4,2117.6,2699.3,USD,6830.8
PAYC-US,PAYC-US_FY2023_A,2023,2512.5,1370.5,1142.0,728.6,799.4,USD,2512.5
PAYC-US,PAYC-US_FY2024_A,2024,2268.8,1087.1,1181.6,635.3,496.3,USD,2268.8
PAYC-US,PAYC-US_FY2025_A,2025,2306.2,1341.3,965.0,415.1,858.8,USD,2306.2
DDOG-US,DDOG-US_FY2023_A,2023,3430.4,1545.6,1884.8,1166.3,603.1,USD,3430.4
DDOG-US,DDOG-US_FY2024_A,2024,2358.4,1055.4,1303.0,495.3,403.9,USD,2358.4
DDOG-US,DDOG-US_FY2025_A,2025,2438.8,1369.2,1069.6,560.9,834.3,USD,2438.8
SNOW-US,SNOW-US_FY2023_A,2023,4596.2,2712.5,1883.7,1470.8,1770.7,USD,4596.2
SNOW-US,SNOW-US_FY2024_A,2024,4527.6,2066.9,2460.7,815.0,836.6,USD,4527.6
SNOW-US,SNOW-US_FY2025_A,2025,3258.5,1653.3,1605.2,912.4,850.7,USD,3258.5
PLTR-US,PLTR-US_FY2023_A,2023,3357.9,1695.6,1662.3,604.4,864.4,USD,3357.9
PLTR-US,PLTR-US_FY2024_A,2024,4132.8,2106.9,2025.9,909.2,1094.0,USD,4132.8
PLTR-US,PLTR-US_FY2025_A,2025,3845.8,2173.7,1672.1,1076.8,1337.7,USD,3845.8
COIN-US,COIN-US_FY2023_A,2023,78308.5,67371.6,10936.9,5481.6,61903.1,USD,78308.5
COIN-US,COIN-US_FY2024_A,2024,49033.1,41875.0,7158.1,3432.3,38295.9,USD,49033.1
COIN-US,COIN-US_FY2025_A,2025,96687.7,78410.3,18277.5,7735.0,69271.5,USD,96687.7
TGT-US,TGT-US_FY2023_A,2023,108663.9,73152.8,35511.1,13039.7,55397.3,USD,108663.9
TGT-US,TGT-US_FY2024_A,2024,123726.2,87336.1,36390.1,22270.7,69141.1,USD,123726.2
TGT-US,TGT-US_FY2025_A,2025,115119.2,62312.2,52807.0,18419.1,35908.7,USD,115119.2
INTU-US,INTU-US_FY2023_A,2023,17546.9,10500.0,7047.0,5439.5,6976.5,USD,17546.9
INTU-US,INTU-US_FY2024_A,2024,24106.5,13891.9,10214.6,5062.4,8784.6,USD,24106.5
INTU-US,INTU-US_FY2025_A,2025,16399.0,9269.0,7130.0,3607.8,5704.0,USD,16399.0
SYK-US,SYK-US_FY2023_A,2023,32544.0,18144.0,14400.0,5532.5,10944.0,USD,32544.0
SYK-US,SYK-US_FY2024_A,2024,27120.0,16442.8,10677.2,6508.8,11104.3,USD,27120.0
SYK-US,SYK-US_FY2025_A,2025,38420.0,20466.7,17953.3,7299.8,11490.1,USD,38420.0
PANW-US,PANW-US_FY2023_A,2023,10148.3,4996.9,5151.4,2841.5,2421.2,USD,10148.3
PANW-US,PANW-US_FY2024_A,2024,9812.8,5451.5,4361.2,1570.0,3270.9,USD,9812.8
PANW-US,PANW-US_FY2025_A,2025,9141.8,5167.1,3974.7,1554.1,3179.8,USD,9141.8
FDS-US,FDS-US_FY2023_A,2023,28012.8,20077.2,7935.6,3081.4,16109.4,USD,28012.8
FDS-US,FDS-US_FY2024_A,2024,31495.2,26192.9,5302.2,4409.3,23541.8,USD,31495.2
FDS-US,FDS-US_FY2025_A,2025,30371.1,25595.8,4775.3,2126.0,23208.1,USD,30371.1
