entity_id,fiscal_period_id,fiscal_year,operating_cash_flow,capital_expenditure,free_cash_flow,dividends_paid,share_buybacks,currency,value_usd_fcf,load_timestamp
ADBE-US,ADBE-US_FY2025_A,2025,4731.1,645.1,4086.0,430.1,215.1,USD,4086.0,2026-03-04T23:00:00Z
JPM-US,JPM-US_FY2023_A,2023,53280.0,19536.0,33744.0,1776.0,12432.0,USD,33744.0,2026-03-04T23:00:00Z
JPM-US,JPM-US_FY2024_A,2024,19536.0,12432.0,7104.0,7104.0,10656.0,USD,7104.0,2026-03-04T23:00:00Z
JPM-US,JPM-US_FY2025_A,2025,53280.0,15984.0,37296.0,5328.0,14208.0,USD,37296.0,2026-03-04T23:00:00Z
UNH-US,UNH-US_FY2023_A,2023,72054.0,44033.0,28021.0,20015.0,12009.0,USD,28021.0,2026-03-04T23:00:00Z
UNH-US,UNH-US_FY2024_A,2024,96072.0,36027.0,60045.0,12009.0,20015.0,USD,60045.0,2026-03-04T23:00:00Z
UNH-US,UNH-US_FY2025_A,2025,68051.0,20015.0,48036.0,12009.0,16012.0,USD,48036.0,2026-03-04T23:00:00Z
WMT-US,WMT-US_FY2023_A,2023,162031.2,32406.2,129625.0,6481.2,0.0,USD,129625.0,2026-03-04T23:00:00Z
WMT-US,WMT-US_FY2024_A,2024,103700.0,58331.2,45368.8,19443.8,25925.0,USD,45368.8,2026-03-04T23:00:00Z
WMT-US,WMT-US_FY2025_A,2025,168512.5,32406.2,136106.2,12962.5,12962.5,USD,136106.2,2026-03-04T23:00:00Z
XOM-US,XOM-US_FY2023_A,2023,99928.8,34458.2,65470.6,3445.8,20674.9,USD,65470.6,2026-03-04T23:00:00Z
XOM-US,XOM-US_FY2024_A,2024,62024.8,34458.2,27566.6,17229.1,0.0,USD,27566.6,2026-03-04T23:00:00Z
XOM-US,XOM-US_FY2025_A,2025,48241.5,13783.3,34458.2,3445.8,17229.1,USD,34458.2,2026-03-04T23:00:00Z
JNJ-US,JNJ-US_FY2023_A,2023,20438.2,2554.8,17883.4,3406.4,2554.8,USD,17883.4,2026-03-04T23:00:00Z
JNJ-US,JNJ-US_FY2024_A,2024,12773.9,4257.9,8515.9,3406.4,0.0,USD,8515.9,2026-03-04T23:00:00Z
JNJ-US,JNJ-US_FY2025_A,2025,17031.8,5109.5,11922.3,3406.4,5109.5,USD,11922.3,2026-03-04T23:00:00Z
V-US,V-US_FY2023_A,2023,5748.2,2874.1,2874.1,1437.0,1077.8,USD,2874.1,2026-03-04T23:00:00Z
V-US,V-US_FY2024_A,2024,5748.2,1437.0,4311.1,1437.0,718.5,USD,4311.1,2026-03-04T23:00:00Z
V-US,V-US_FY2025_A,2025,5748.2,1437.0,4311.1,1796.3,2514.8,USD,4311.1,2026-03-04T23:00:00Z
PG-US,PG-US_FY2023_A,2023,23530.9,7563.5,15967.4,2521.2,3361.6,USD,15967.4,2026-03-04T23:00:00Z
PG-US,PG-US_FY2024_A,2024,24371.3,9244.3,15127.0,3361.6,5042.3,USD,15127.0,2026-03-04T23:00:00Z
PG-US,PG-US_FY2025_A,2025,13446.2,5882.7,7563.5,1680.8,2521.2,USD,7563.5,2026-03-04T23:00:00Z
HD-US,HD-US_FY2023_A,2023,39350.8,11018.2,28332.5,6296.1,3148.1,USD,28332.5,2026-03-04T23:00:00Z
HD-US,HD-US_FY2024_A,2024,37776.7,15740.3,22036.4,7870.2,6296.1,USD,22036.4,2026-03-04T23:00:00Z
HD-US,HD-US_FY2025_A,2025,45646.9,12592.2,33054.6,3148.1,3148.1,USD,33054.6,2026-03-04T23:00:00Z
BAC-US,BAC-US_FY2023_A,2023,14224.0,9144.0,5080.0,5080.0,7112.0,USD,5080.0,2026-03-04T23:00:00Z
BAC-US,BAC-US_FY2024_A,2024,12192.0,10160.0,2032.0,2032.0,2032.0,USD,2032.0,2026-03-04T23:00:00Z
BAC-US,BAC-US_FY2025_A,2025,23368.0,8128.0,15240.0,4064.0,2032.0,USD,15240.0,2026-03-04T23:00:00Z
KO-US,KO-US_FY2023_A,2023,11765.2,4706.1,7059.1,1411.8,1882.4,USD,7059.1,2026-03-04T23:00:00Z
KO-US,KO-US_FY2024_A,2024,12706.5,2823.7,9882.8,2353.1,0.0,USD,9882.8,2026-03-04T23:00:00Z
KO-US,KO-US_FY2025_A,2025,13647.7,5647.3,8000.4,470.6,3764.9,USD,8000.4,2026-03-04T23:00:00Z
APLE-US,APLE-US_FY2023_A,2023,274.0,68.5,205.5,41.1,27.4,USD,205.5,2026-03-04T23:00:00Z
APLE-US,APLE-US_FY2024_A,2024,383.6,109.6,274.0,54.8,41.1,USD,274.0,2026-03-04T23:00:00Z
APLE-US,APLE-US_FY2025_A,2025,287.7,82.2,205.5,27.4,54.8,USD,205.5,2026-03-04T23:00:00Z
DAL-US,DAL-US_FY2023_A,2023,12327.2,2465.4,9861.8,3081.8,2465.4,USD,9861.8,2026-03-04T23:00:00Z
DAL-US,DAL-US_FY2024_A,2024,16641.7,6780.0,9861.8,1232.7,1849.1,USD,9861.8,2026-03-04T23:00:00Z
DAL-US,DAL-US_FY2025_A,2025,12943.6,3081.8,9861.8,1232.7,1232.7,USD,9861.8,2026-03-04T23:00:00Z
DELT-TW,DELT-TW_FY2023_A,2023,117450.0,32400.0,85050.0,12150.0,4050.0,TWD,2636.5,2026-03-04T23:00:00Z
DELT-TW,DELT-TW_FY2024_A,2024,68850.0,24300.0,44550.0,16200.0,16200.0,TWD,1381.0,2026-03-04T23:00:00Z
DELT-TW,DELT-TW_FY2025_A,2025,93150.0,36450.0,56700.0,8100.0,28350.0,TWD,1757.7,2026-03-04T23:00:00Z
GS-US,GS-US_FY2023_A,2023,15648.4,4856.4,10792.0,1618.8,539.6,USD,10792.0,2026-03-04T23:00:00Z
GS-US,GS-US_FY2024_A,2024,14029.6,2698.0,11331.6,2158.4,2158.4,USD,11331.6,2026-03-04T23:00:00Z
GS-US,GS-US_FY2025_A,2025,15108.8,4316.8,10792.0,2158.4,0.0,USD,10792.0,2026-03-04T23:00:00Z
BRK.A-US,BRK.A-US_FY2023_A,2023,40898.0,40898.0,0.0,18590.0,18590.0,USD,0.0,2026-03-04T23:00:00Z
BRK.A-US,BRK.A-US_FY2024_A,2024,92950.0,26026.0,66924.0,14872.0,7436.0,USD,66924.0,2026-03-04T23:00:00Z
BRK.A-US,BRK.A-US_FY2025_A,2025,89232.0,11154.0,78078.0,11154.0,11154.0,USD,78078.0,2026-03-04T23:00:00Z
NKE-US,NKE-US_FY2023_A,2023,11299.6,4622.6,6677.1,1540.9,2054.5,USD,6677.1,2026-03-04T23:00:00Z
NKE-US,NKE-US_FY2024_A,2024,10272.4,1540.9,8731.5,1540.9,0.0,USD,8731.5,2026-03-04T23:00:00Z
NKE-US,NKE-US_FY2025_A,2025,10786.0,2568.1,8217.9,2568.1,0.0,USD,8217.9,2026-03-04T23:00:00Z
FDX-US,FDX-US_FY2023_A,2023,22800.2,7892.4,14907.8,3507.7,6138.5,USD,14907.8,2026-03-04T23:00:00Z
FDX-US,FDX-US_FY2024_A,2024,10523.2,3507.7,7015.4,1753.9,1753.9,USD,7015.4,2026-03-04T23:00:00Z
FDX-US,FDX-US_FY2025_A,2025,18415.5,8769.3,9646.2,1753.9,2630.8,USD,9646.2,2026-03-04T23:00:00Z
COST-US,COST-US_FY2023_A,2023,43218.8,17796.0,25422.8,7626.8,20338.2,USD,25422.8,2026-03-04T23:00:00Z
COST-US,COST-US_FY2024_A,2024,38134.2,22880.5,15253.7,10169.1,12711.4,USD,15253.7,2026-03-04T23:00:00Z
COST-US,COST-US_FY2025_A,2025,68641.6,25422.8,43218.8,2542.3,7626.8,USD,43218.8,2026-03-04T23:00:00Z
ACN-US,ACN-US_FY2023_A,2023,13673.5,2604.5,11069.0,651.1,651.1,USD,11069.0,2026-03-04T23:00:00Z
ACN-US,ACN-US_FY2024_A,2024,13022.4,4557.8,8464.6,2604.5,3255.6,USD,8464.6,2026-03-04T23:00:00Z
ACN-US,ACN-US_FY2025_A,2025,17580.2,2604.5,14975.8,1953.4,0.0,USD,14975.8,2026-03-04T23:00:00Z
FIS-US,FIS-US_FY2023_A,2023,1373.4,1079.1,294.3,490.5,392.4,USD,294.3,2026-03-04T23:00:00Z
FIS-US,FIS-US_FY2024_A,2024,1079.1,392.4,686.7,490.5,686.7,USD,686.7,2026-03-04T23:00:00Z
FIS-US,FIS-US_FY2025_A,2025,2060.1,294.3,1765.8,490.5,294.3,USD,1765.8,2026-03-04T23:00:00Z
7203-JP,7203-JP_FY2023_A,2023,1.3077753E7,3607656.0,9470097.0,1803828.0,2705742.0,JPY,63449.6,2026-03-04T23:00:00Z
7203-JP,7203-JP_FY2024_A,2024,8117226.0,1803828.0,6313398.0,901914.0,901914.0,JPY,42299.8,2026-03-04T23:00:00Z
7203-JP,7203-JP_FY2025_A,2025,1.2175839E7,3156699.0,9019140.0,2254785.0,1352871.0,JPY,60428.2,2026-03-04T23:00:00Z
SAP-DE,SAP-DE_FY2023_A,2023,8544.0,1367.0,7177.0,1708.8,2050.6,EUR,7751.1,2026-03-04T23:00:00Z
SAP-DE,SAP-DE_FY2024_A,2024,6835.2,4101.1,2734.1,341.8,1025.3,EUR,2952.8,2026-03-04T23:00:00Z
SAP-DE,SAP-DE_FY2025_A,2025,9227.5,2050.6,7177.0,1367.0,2734.1,EUR,7751.1,2026-03-04T23:00:00Z
HSBA-GB,HSBA-GB_FY2023_A,2023,11889.0,6605.0,5284.0,660.5,1321.0,GBP,6710.7,2026-03-04T23:00:00Z
HSBA-GB,HSBA-GB_FY2024_A,2024,19815.0,4623.5,15191.5,1321.0,5284.0,GBP,19293.2,2026-03-04T23:00:00Z
HSBA-GB,HSBA-GB_FY2025_A,2025,12549.5,5944.5,6605.0,2642.0,660.5,GBP,8388.4,2026-03-04T23:00:00Z
NESN-CH,NESN-CH_FY2023_A,2023,20097.4,9135.2,10962.2,3654.1,913.5,CHF,12387.3,2026-03-04T23:00:00Z
NESN-CH,NESN-CH_FY2024_A,2024,11875.8,8221.7,3654.1,3654.1,5481.1,CHF,4129.1,2026-03-04T23:00:00Z
NESN-CH,NESN-CH_FY2025_A,2025,14616.3,3654.1,10962.2,913.5,1827.0,CHF,12387.3,2026-03-04T23:00:00Z
005930-KR,005930-KR_FY2023_A,2023,4.401895E7,1.294675E7,3.10722E7,5178700.0,2589350.0,KRW,23304.2,2026-03-04T23:00:00Z
005930-KR,005930-KR_FY2024_A,2024,4.919765E7,2.07148E7,2.848285E7,7768050.0,0.0,KRW,21362.1,2026-03-04T23:00:00Z
005930-KR,005930-KR_FY2025_A,2025,4.401895E7,1.03574E7,3.366155E7,7768050.0,7768050.0,KRW,25246.2,2026-03-04T23:00:00Z
AZN-GB,AZN-GB_FY2023_A,2023,8959.7,2986.6,5973.1,1493.3,497.8,GBP,7585.9,2026-03-04T23:00:00Z
AZN-GB,AZN-GB_FY2024_A,2024,13937.3,5475.4,8461.9,2488.8,2488.8,GBP,10746.6,2026-03-04T23:00:00Z
AZN-GB,AZN-GB_FY2025_A,2025,6470.9,2986.6,3484.3,995.5,995.5,GBP,4425.1,2026-03-04T23:00:00Z
SHEL-GB,SHEL-GB_FY2023_A,2023,56280.0,11256.0,45024.0,8442.0,8442.0,GBP,57180.5,2026-03-04T23:00:00Z
SHEL-GB,SHEL-GB_FY2024_A,2024,56280.0,11256.0,45024.0,5628.0,5628.0,GBP,57180.5,2026-03-04T23:00:00Z
SHEL-GB,SHEL-GB_FY2025_A,2025,64722.0,22512.0,42210.0,5628.0,2814.0,GBP,53606.7,2026-03-04T23:00:00Z
TTE-FR,TTE-FR_FY2023_A,2023,35024.0,26268.0,8756.0,4378.0,10945.0,EUR,9456.5,2026-03-04T23:00:00Z
TTE-FR,TTE-FR_FY2024_A,2024,56914.0,13134.0,43780.0,4378.0,15323.0,EUR,47282.4,2026-03-04T23:00:00Z
TTE-FR,TTE-FR_FY2025_A,2025,59103.0,26268.0,32835.0,4378.0,6567.0,EUR,35461.8,2026-03-04T23:00:00Z
NOVO-DK,NOVO-DK_FY2023_A,2023,84266.8,14528.8,69738.0,5811.5,23246.0,DKK,10112.0,2026-03-04T23:00:00Z
NOVO-DK,NOVO-DK_FY2024_A,2024,84266.8,17434.5,66832.2,11623.0,11623.0,DKK,9690.7,2026-03-04T23:00:00Z
NOVO-DK,NOVO-DK_FY2025_A,2025,63926.5,14528.8,49397.8,8717.2,20340.3,DKK,7162.7,2026-03-04T23:00:00Z
RY-CA,RY-CA_FY2023_A,2023,10222.6,2271.7,7950.9,1703.8,2839.6,CAD,5883.7,2026-03-04T23:00:00Z
RY-CA,RY-CA_FY2024_A,2024,11926.3,5111.3,6815.0,1703.8,4543.4,CAD,5043.1,2026-03-04T23:00:00Z
RY-CA,RY-CA_FY2025_A,2025,10790.5,5111.3,5679.2,1703.8,1135.8,CAD,4202.6,2026-03-04T23:00:00Z
SNPS-US,SNPS-US_FY2023_A,2023,1470.5,612.7,857.8,245.1,183.8,USD,857.8,2026-03-04T23:00:00Z
SNPS-US,SNPS-US_FY2024_A,2024,1225.4,551.4,674.0,122.5,306.4,USD,674.0,2026-03-04T23:00:00Z
SNPS-US,SNPS-US_FY2025_A,2025,1470.5,612.7,857.8,61.3,490.2,USD,857.8,2026-03-04T23:00:00Z
CDNS-US,CDNS-US_FY2023_A,2023,928.0,324.8,603.2,139.2,324.8,USD,603.2,2026-03-04T23:00:00Z
CDNS-US,CDNS-US_FY2024_A,2024,1113.6,371.2,742.4,185.6,139.2,USD,742.4,2026-03-04T23:00:00Z
CDNS-US,CDNS-US_FY2025_A,2025,1299.2,371.2,928.0,185.6,46.4,USD,928.0,2026-03-04T23:00:00Z
MCHP-US,MCHP-US_FY2023_A,2023,1357.5,488.7,868.8,108.6,271.5,USD,868.8,2026-03-04T23:00:00Z
MCHP-US,MCHP-US_FY2024_A,2024,597.3,651.6,-54.3,217.2,162.9,USD,-54.3,2026-03-04T23:00:00Z
MCHP-US,MCHP-US_FY2025_A,2025,1357.5,651.6,705.9,162.9,0.0,USD,705.9,2026-03-04T23:00:00Z
KEYS-US,KEYS-US_FY2023_A,2023,747.0,398.4,348.6,149.4,249.0,USD,348.6,2026-03-04T23:00:00Z
KEYS-US,KEYS-US_FY2024_A,2024,1095.6,348.6,747.0,149.4,298.8,USD,747.0,2026-03-04T23:00:00Z
KEYS-US,KEYS-US_FY2025_A,2025,1095.6,398.4,697.2,99.6,0.0,USD,697.2,2026-03-04T23:00:00Z
IT-US,IT-US_FY2023_A,2023,725.4,423.2,302.2,302.2,60.5,USD,302.2,2026-03-04T23:00:00Z
IT-US,IT-US_FY2024_A,2024,1753.0,241.8,1511.2,120.9,241.8,USD,1511.2,2026-03-04T23:00:00Z
IT-US,IT-US_FY2025_A,2025,846.3,423.2,423.2,181.3,241.8,USD,423.2,2026-03-04T23:00:00Z
PAYC-US,PAYC-US_FY2023_A,2023,450.0,112.5,337.5,37.5,112.5,USD,337.5,2026-03-04T23:00:00Z
PAYC-US,PAYC-US_FY2024_A,2024,225.0,206.2,18.8,75.0,93.8,USD,18.8,2026-03-04T23:00:00Z
PAYC-US,PAYC-US_FY2025_A,2025,243.8,225.0,18.8,37.5,18.8,USD,18.8,2026-03-04T23:00:00Z
DDOG-US,DDOG-US_FY2023_A,2023,348.4,214.4,134.0,134.0,53.6,USD,134.0,2026-03-04T23:00:00Z
DDOG-US,DDOG-US_FY2024_A,2024,482.4,134.0,348.4,107.2,80.4,USD,348.4,2026-03-04T23:00:00Z
DDOG-US,DDOG-US_FY2025_A,2025,294.8,241.2,53.6,53.6,134.0,USD,53.6,2026-03-04T23:00:00Z
SNOW-US,SNOW-US_FY2023_A,2023,617.4,308.7,308.7,68.6,205.8,USD,308.7,2026-03-04T23:00:00Z
SNOW-US,SNOW-US_FY2024_A,2024,891.8,137.2,754.6,34.3,240.1,USD,754.6,2026-03-04T23:00:00Z
SNOW-US,SNOW-US_FY2025_A,2025,480.2,205.8,274.4,102.9,68.6,USD,274.4,2026-03-04T23:00:00Z
PLTR-US,PLTR-US_FY2023_A,2023,774.9,229.6,545.3,114.8,143.5,USD,545.3,2026-03-04T23:00:00Z
PLTR-US,PLTR-US_FY2024_A,2024,631.4,229.6,401.8,57.4,200.9,USD,401.8,2026-03-04T23:00:00Z
PLTR-US,PLTR-US_FY2025_A,2025,631.4,287.0,344.4,114.8,57.4,USD,344.4,2026-03-04T23:00:00Z
COIN-US,COIN-US_FY2023_A,2023,1444.1,262.6,1181.5,131.3,65.6,USD,1181.5,2026-03-04T23:00:00Z
COIN-US,COIN-US_FY2024_A,2024,1050.2,328.2,722.0,262.6,262.6,USD,722.0,2026-03-04T23:00:00Z
COIN-US,COIN-US_FY2025_A,2025,1181.5,262.6,919.0,196.9,65.6,USD,919.0,2026-03-04T23:00:00Z
TGT-US,TGT-US_FY2023_A,2023,24745.2,9682.9,15062.3,4303.5,8607.0,USD,15062.3,2026-03-04T23:00:00Z
TGT-US,TGT-US_FY2024_A,2024,22593.5,7531.2,15062.3,2151.8,3227.6,USD,15062.3,2026-03-04T23:00:00Z
TGT-US,TGT-US_FY2025_A,2025,20441.7,3227.6,17214.1,2151.8,0.0,USD,17214.1,2026-03-04T23:00:00Z
INTU-US,INTU-US_FY2023_A,2023,2131.9,1639.9,492.0,820.0,656.0,USD,492.0,2026-03-04T23:00:00Z
INTU-US,INTU-US_FY2024_A,2024,3279.8,1475.9,1803.9,492.0,1147.9,USD,1803.9,2026-03-04T23:00:00Z
INTU-US,INTU-US_FY2025_A,2025,3279.8,656.0,2623.8,164.0,983.9,USD,2623.8,2026-03-04T23:00:00Z
SYK-US,SYK-US_FY2023_A,2023,3616.0,1130.0,2486.0,678.0,226.0,USD,2486.0,2026-03-04T23:00:00Z
SYK-US,SYK-US_FY2024_A,2024,4294.0,2260.0,2034.0,904.0,904.0,USD,2034.0,2026-03-04T23:00:00Z
SYK-US,SYK-US_FY2025_A,2025,2712.0,904.0,1808.0,904.0,1582.0,USD,1808.0,2026-03-04T23:00:00Z
PANW-US,PANW-US_FY2023_A,2023,1425.8,838.7,587.1,83.9,503.2,USD,587.1,2026-03-04T23:00:00Z
PANW-US,PANW-US_FY2024_A,2024,1761.3,1006.4,754.8,83.9,587.1,USD,754.8,2026-03-04T23:00:00Z
PANW-US,PANW-US_FY2025_A,2025,2096.8,503.2,1593.5,419.4,335.5,USD,1593.5,2026-03-04T23:00:00Z
FDS-US,FDS-US_FY2023_A,2023,374.7,220.4,154.3,66.1,176.3,USD,154.3,2026-03-04T23:00:00Z
FDS-US,FDS-US_FY2024_A,2024,573.0,110.2,462.8,88.2,110.2,USD,462.8,2026-03-04T23:00:00Z
FDS-US,FDS-US_FY2025_A,2025,374.7,198.4,176.3,88.2,22.0,USD,176.3,2026-03-04T23:00:00Z
