entity_id,fiscal_period_id,fiscal_year,fiscal_period,period_end_date,metric,value,currency,value_usd,source,load_timestamp
GOOGL-US,GOOGL-US_FY2025_Q3,2025,Q3,2025-09-30,FF_SALES,90493.83,USD,90493.83,FDB_FF,2026-03-04T23:00:00Z
GOOGL-US,GOOGL-US_FY2025_Q4,2025,Q4,2025-12-31,FF_SALES,76344.93,USD,76344.93,FDB_FF,2026-03-04T23:00:00Z
AMZN-US,AMZN-US_FY2021_A,2021,FY,2021-12-31,FF_SALES,494232.51,USD,494232.51,FDB_FF,2026-03-04T23:00:00Z
AMZN-US,AMZN-US_FY2021_Q1,2021,Q1,2021-03-31,FF_SALES,122826.29,USD,122826.29,FDB_FF,2026-03-04T23:00:00Z
AMZN-US,AMZN-US_FY2021_Q2,2021,Q2,2021-06-30,FF_SALES,108506.13,USD,108506.13,FDB_FF,2026-03-04T23:00:00Z
AMZN-US,AMZN-US_FY2021_Q3,2021,Q3,2021-09-30,FF_SALES,123939.66,USD,123939.66,FDB_FF,2026-03-04T23:00:00Z
AMZN-US,AMZN-US_FY2021_Q4,2021,Q4,2021-12-31,FF_SALES,138960.43,USD,138960.43,FDB_FF,2026-03-04T23:00:00Z
AMZN-US,AMZN-US_FY2022_A,2022,FY,2022-12-31,FF_SALES,509000.23,USD,509000.23,FDB_FF,2026-03-04T23:00:00Z
AMZN-US,AMZN-US_FY2022_Q1,2022,Q1,2022-03-31,FF_SALES,115065.8,USD,115065.8,FDB_FF,2026-03-04T23:00:00Z
AMZN-US,AMZN-US_FY2022_Q2,2022,Q2,2022-06-30,FF_SALES,155414.24,USD,155414.24,FDB_FF,2026-03-04T23:00:00Z
AMZN-US,AMZN-US_FY2022_Q3,2022,Q3,2022-09-30,FF_SALES,130112.17,USD,130112.17,FDB_FF,2026-03-04T23:00:00Z
AMZN-US,AMZN-US_FY2022_Q4,2022,Q4,2022-12-31,FF_SALES,108408.02,USD,108408.02,FDB_FF,2026-03-04T23:00:00Z
AMZN-US,AMZN-US_FY2023_A,2023,FY,2023-12-31,FF_SALES,488346.67,USD,488346.67,FDB_FF,2026-03-04T23:00:00Z
AMZN-US,AMZN-US_FY2023_Q1,2023,Q1,2023-03-31,FF_SALES,103527.84,USD,103527.84,FDB_FF,2026-03-04T23:00:00Z
AMZN-US,AMZN-US_FY2023_Q2,2023,Q2,2023-06-30,FF_SALES,128937.93,USD,128937.93,FDB_FF,2026-03-04T23:00:00Z
AMZN-US,AMZN-US_FY2023_Q3,2023,Q3,2023-09-30,FF_SALES,137017.07,USD,137017.07,FDB_FF,2026-03-04T23:00:00Z
AMZN-US,AMZN-US_FY2023_Q4,2023,Q4,2023-12-31,FF_SALES,118863.83,USD,118863.83,FDB_FF,2026-03-04T23:00:00Z
AMZN-US,AMZN-US_FY2024_A,2024,FY,2024-12-31,FF_SALES,470134.04,USD,470134.04,FDB_FF,2026-03-04T23:00:00Z
AMZN-US,AMZN-US_FY2024_Q1,2024,Q1,2024-03-31,FF_SALES,102931.34,USD,102931.34,FDB_FF,2026-03-04T23:00:00Z
AMZN-US,AMZN-US_FY2024_Q2,2024,Q2,2024-06-30,FF_SALES,129489.55,USD,129489.55,FDB_FF,2026-03-04T23:00:00Z
AMZN-US,AMZN-US_FY2024_Q3,2024,Q3,2024-09-30,FF_SALES,109305.94,USD,109305.94,FDB_FF,2026-03-04T23:00:00Z
AMZN-US,AMZN-US_FY2024_Q4,2024,Q4,2024-12-31,FF_SALES,128407.21,USD,128407.21,FDB_FF,2026-03-04T23:00:00Z
AMZN-US,AMZN-US_FY2025_A,2025,FY,2025-12-31,FF_SALES,527563.71,USD,527563.71,FDB_FF,2026-03-04T23:00:00Z
AMZN-US,AMZN-US_FY2025_Q1,2025,Q1,2025-03-31,FF_SALES,106642.23,USD,106642.23,FDB_FF,2026-03-04T23:00:00Z
AMZN-US,AMZN-US_FY2025_Q2,2025,Q2,2025-06-30,FF_SALES,144243.88,USD,144243.88,FDB_FF,2026-03-04T23:00:00Z
AMZN-US,AMZN-US_FY2025_Q3,2025,Q3,2025-09-30,FF_SALES,142175.62,USD,142175.62,FDB_FF,2026-03-04T23:00:00Z
AMZN-US,AMZN-US_FY2025_Q4,2025,Q4,2025-12-31,FF_SALES,134501.97,USD,134501.97,FDB_FF,2026-03-04T23:00:00Z
META-US,META-US_FY2021_A,2021,FY,2021-12-31,FF_SALES,134089.78,USD,134089.78,FDB_FF,2026-03-04T23:00:00Z
META-US,META-US_FY2021_Q1,2021,Q1,2021-03-31,FF_SALES,28445.01,USD,28445.01,FDB_FF,2026-03-04T23:00:00Z
META-US,META-US_FY2021_Q2,2021,Q2,2021-06-30,FF_SALES,32799.06,USD,32799.06,FDB_FF,2026-03-04T23:00:00Z
META-US,META-US_FY2021_Q3,2021,Q3,2021-09-30,FF_SALES,33054.45,USD,33054.45,FDB_FF,2026-03-04T23:00:00Z
META-US,META-US_FY2021_Q4,2021,Q4,2021-12-31,FF_SALES,39791.26,USD,39791.26,FDB_FF,2026-03-04T23:00:00Z
META-US,META-US_FY2022_A,2022,FY,2022-12-31,FF_SALES,150873.88,USD,150873.88,FDB_FF,2026-03-04T23:00:00Z
META-US,META-US_FY2022_Q1,2022,Q1,2022-03-31,FF_SALES,34650.17,USD,34650.17,FDB_FF,2026-03-04T23:00:00Z
META-US,META-US_FY2022_Q2,2022,Q2,2022-06-30,FF_SALES,38281.42,USD,38281.42,FDB_FF,2026-03-04T23:00:00Z
META-US,META-US_FY2022_Q3,2022,Q3,2022-09-30,FF_SALES,33352.93,USD,33352.93,FDB_FF,2026-03-04T23:00:00Z
META-US,META-US_FY2022_Q4,2022,Q4,2022-12-31,FF_SALES,44589.36,USD,44589.36,FDB_FF,2026-03-04T23:00:00Z
META-US,META-US_FY2023_A,2023,FY,2023-12-31,FF_SALES,169597.89,USD,169597.89,FDB_FF,2026-03-04T23:00:00Z
META-US,META-US_FY2023_Q1,2023,Q1,2023-03-31,FF_SALES,40190.04,USD,40190.04,FDB_FF,2026-03-04T23:00:00Z
META-US,META-US_FY2023_Q2,2023,Q2,2023-06-30,FF_SALES,46144.02,USD,46144.02,FDB_FF,2026-03-04T23:00:00Z
META-US,META-US_FY2023_Q3,2023,Q3,2023-09-30,FF_SALES,45619.81,USD,45619.81,FDB_FF,2026-03-04T23:00:00Z
META-US,META-US_FY2023_Q4,2023,Q4,2023-12-31,FF_SALES,37644.02,USD,37644.02,FDB_FF,2026-03-04T23:00:00Z
META-US,META-US_FY2024_A,2024,FY,2024-12-31,FF_SALES,186982.04,USD,186982.04,FDB_FF,2026-03-04T23:00:00Z
META-US,META-US_FY2024_Q1,2024,Q1,2024-03-31,FF_SALES,48210.13,USD,48210.13,FDB_FF,2026-03-04T23:00:00Z
META-US,META-US_FY2024_Q2,2024,Q2,2024-06-30,FF_SALES,52752.25,USD,52752.25,FDB_FF,2026-03-04T23:00:00Z
META-US,META-US_FY2024_Q3,2024,Q3,2024-09-30,FF_SALES,48038.79,USD,48038.79,FDB_FF,2026-03-04T23:00:00Z
META-US,META-US_FY2024_Q4,2024,Q4,2024-12-31,FF_SALES,37980.87,USD,37980.87,FDB_FF,2026-03-04T23:00:00Z
META-US,META-US_FY2025_A,2025,FY,2025-12-31,FF_SALES,189755.21,USD,189755.21,FDB_FF,2026-03-04T23:00:00Z
META-US,META-US_FY2025_Q1,2025,Q1,2025-03-31,FF_SALES,35951.55,USD,35951.55,FDB_FF,2026-03-04T23:00:00Z
META-US,META-US_FY2025_Q2,2025,Q2,2025-06-30,FF_SALES,52145.01,USD,52145.01,FDB_FF,2026-03-04T23:00:00Z
META-US,META-US_FY2025_Q3,2025,Q3,2025-09-30,FF_SALES,51248.18,USD,51248.18,FDB_FF,2026-03-04T23:00:00Z
META-US,META-US_FY2025_Q4,2025,Q4,2025-12-31,FF_SALES,50410.47,USD,50410.47,FDB_FF,2026-03-04T23:00:00Z
NVDA-US,NVDA-US_FY2021_A,2021,FY,2021-01-31,FF_SALES,98628.66,USD,98628.66,FDB_FF,2026-03-04T23:00:00Z
NVDA-US,NVDA-US_FY2021_Q1,2021,Q1,2020-04-30,FF_SALES,27302.59,USD,27302.59,FDB_FF,2026-03-04T23:00:00Z
NVDA-US,NVDA-US_FY2021_Q2,2021,Q2,2020-07-31,FF_SALES,27956.6,USD,27956.6,FDB_FF,2026-03-04T23:00:00Z
NVDA-US,NVDA-US_FY2021_Q3,2021,Q3,2020-10-31,FF_SALES,19785.81,USD,19785.81,FDB_FF,2026-03-04T23:00:00Z
NVDA-US,NVDA-US_FY2021_Q4,2021,Q4,2021-01-31,FF_SALES,23583.66,USD,23583.66,FDB_FF,2026-03-04T23:00:00Z
NVDA-US,NVDA-US_FY2022_A,2022,FY,2022-01-31,FF_SALES,95062.49,USD,95062.49,FDB_FF,2026-03-04T23:00:00Z
NVDA-US,NVDA-US_FY2022_Q1,2022,Q1,2021-04-30,FF_SALES,25905.91,USD,25905.91,FDB_FF,2026-03-04T23:00:00Z
NVDA-US,NVDA-US_FY2022_Q2,2022,Q2,2021-07-31,FF_SALES,25955.01,USD,25955.01,FDB_FF,2026-03-04T23:00:00Z
NVDA-US,NVDA-US_FY2022_Q3,2022,Q3,2021-10-31,FF_SALES,19973.15,USD,19973.15,FDB_FF,2026-03-04T23:00:00Z
NVDA-US,NVDA-US_FY2022_Q4,2022,Q4,2022-01-31,FF_SALES,23228.42,USD,23228.42,FDB_FF,2026-03-04T23:00:00Z
NVDA-US,NVDA-US_FY2023_A,2023,FY,2023-01-31,FF_SALES,100762.51,USD,100762.51,FDB_FF,2026-03-04T23:00:00Z
NVDA-US,NVDA-US_FY2023_Q1,2023,Q1,2022-04-30,FF_SALES,23354.77,USD,23354.77,FDB_FF,2026-03-04T23:00:00Z
NVDA-US,NVDA-US_FY2023_Q2,2023,Q2,2022-07-31,FF_SALES,29617.37,USD,29617.37,FDB_FF,2026-03-04T23:00:00Z
NVDA-US,NVDA-US_FY2023_Q3,2023,Q3,2022-10-31,FF_SALES,24984.73,USD,24984.73,FDB_FF,2026-03-04T23:00:00Z
NVDA-US,NVDA-US_FY2023_Q4,2023,Q4,2023-01-31,FF_SALES,22805.63,USD,22805.63,FDB_FF,2026-03-04T23:00:00Z
NVDA-US,NVDA-US_FY2024_A,2024,FY,2024-01-31,FF_SALES,106592.55,USD,106592.55,FDB_FF,2026-03-04T23:00:00Z
NVDA-US,NVDA-US_FY2024_Q1,2024,Q1,2023-04-30,FF_SALES,28422.72,USD,28422.72,FDB_FF,2026-03-04T23:00:00Z
NVDA-US,NVDA-US_FY2024_Q2,2024,Q2,2023-07-31,FF_SALES,22917.32,USD,22917.32,FDB_FF,2026-03-04T23:00:00Z
NVDA-US,NVDA-US_FY2024_Q3,2024,Q3,2023-10-31,FF_SALES,24068.47,USD,24068.47,FDB_FF,2026-03-04T23:00:00Z
NVDA-US,NVDA-US_FY2024_Q4,2024,Q4,2024-01-31,FF_SALES,31184.04,USD,31184.04,FDB_FF,2026-03-04T23:00:00Z
NVDA-US,NVDA-US_FY2025_A,2025,FY,2025-01-31,FF_SALES,115117.35,USD,115117.35,FDB_FF,2026-03-04T23:00:00Z
NVDA-US,NVDA-US_FY2025_Q1,2025,Q1,2024-04-30,FF_SALES,30174.84,USD,30174.84,FDB_FF,2026-03-04T23:00:00Z
NVDA-US,NVDA-US_FY2025_Q2,2025,Q2,2024-07-31,FF_SALES,31158.47,USD,31158.47,FDB_FF,2026-03-04T23:00:00Z
NVDA-US,NVDA-US_FY2025_Q3,2025,Q3,2024-10-31,FF_SALES,26250.35,USD,26250.35,FDB_FF,2026-03-04T23:00:00Z
NVDA-US,NVDA-US_FY2025_Q4,2025,Q4,2025-01-31,FF_SALES,27533.69,USD,27533.69,FDB_FF,2026-03-04T23:00:00Z
TSM-US,TSM-US_FY2021_A,2021,FY,2021-12-31,FF_SALES,1748482.86,TWD,54202.97,FDB_FF,2026-03-04T23:00:00Z
TSM-US,TSM-US_FY2021_Q1,2021,Q1,2021-03-31,FF_SALES,426041.85,TWD,13207.3,FDB_FF,2026-03-04T23:00:00Z
TSM-US,TSM-US_FY2021_Q2,2021,Q2,2021-06-30,FF_SALES,424151.05,TWD,13148.68,FDB_FF,2026-03-04T23:00:00Z
TSM-US,TSM-US_FY2021_Q3,2021,Q3,2021-09-30,FF_SALES,395643.19,TWD,12264.94,FDB_FF,2026-03-04T23:00:00Z
TSM-US,TSM-US_FY2021_Q4,2021,Q4,2021-12-31,FF_SALES,502646.77,TWD,15582.05,FDB_FF,2026-03-04T23:00:00Z
TSM-US,TSM-US_FY2022_A,2022,FY,2022-12-31,FF_SALES,1741118.87,TWD,53974.69,FDB_FF,2026-03-04T23:00:00Z
TSM-US,TSM-US_FY2022_Q1,2022,Q1,2022-03-31,FF_SALES,502156.35,TWD,15566.85,FDB_FF,2026-03-04T23:00:00Z
TSM-US,TSM-US_FY2022_Q2,2022,Q2,2022-06-30,FF_SALES,494243.2,TWD,15321.54,FDB_FF,2026-03-04T23:00:00Z
TSM-US,TSM-US_FY2022_Q3,2022,Q3,2022-09-30,FF_SALES,357915.26,TWD,11095.37,FDB_FF,2026-03-04T23:00:00Z
TSM-US,TSM-US_FY2022_Q4,2022,Q4,2022-12-31,FF_SALES,386804.06,TWD,11990.93,FDB_FF,2026-03-04T23:00:00Z
TSM-US,TSM-US_FY2023_A,2023,FY,2023-12-31,FF_SALES,1887016.9,TWD,58497.52,FDB_FF,2026-03-04T23:00:00Z
TSM-US,TSM-US_FY2023_Q1,2023,Q1,2023-03-31,FF_SALES,424059.41,TWD,13145.84,FDB_FF,2026-03-04T23:00:00Z
TSM-US,TSM-US_FY2023_Q2,2023,Q2,2023-06-30,FF_SALES,408369.55,TWD,12659.46,FDB_FF,2026-03-04T23:00:00Z
TSM-US,TSM-US_FY2023_Q3,2023,Q3,2023-09-30,FF_SALES,562194.8,TWD,17428.04,FDB_FF,2026-03-04T23:00:00Z
TSM-US,TSM-US_FY2023_Q4,2023,Q4,2023-12-31,FF_SALES,492393.14,TWD,15264.19,FDB_FF,2026-03-04T23:00:00Z
TSM-US,TSM-US_FY2024_A,2024,FY,2024-12-31,FF_SALES,1971053.69,TWD,61102.66,FDB_FF,2026-03-04T23:00:00Z
TSM-US,TSM-US_FY2024_Q1,2024,Q1,2024-03-31,FF_SALES,555560.32,TWD,17222.37,FDB_FF,2026-03-04T23:00:00Z
TSM-US,TSM-US_FY2024_Q2,2024,Q2,2024-06-30,FF_SALES,560124.63,TWD,17363.86,FDB_FF,2026-03-04T23:00:00Z
TSM-US,TSM-US_FY2024_Q3,2024,Q3,2024-09-30,FF_SALES,437009.39,TWD,13547.29,FDB_FF,2026-03-04T23:00:00Z
TSM-US,TSM-US_FY2024_Q4,2024,Q4,2024-12-31,FF_SALES,418359.35,TWD,12969.14,FDB_FF,2026-03-04T23:00:00Z
TSM-US,TSM-US_FY2025_A,2025,FY,2025-12-31,FF_SALES,2042426.01,TWD,63315.21,FDB_FF,2026-03-04T23:00:00Z
TSM-US,TSM-US_FY2025_Q1,2025,Q1,2025-03-31,FF_SALES,480905.37,TWD,14908.07,FDB_FF,2026-03-04T23:00:00Z
TSM-US,TSM-US_FY2025_Q2,2025,Q2,2025-06-30,FF_SALES,489526.28,TWD,15175.31,FDB_FF,2026-03-04T23:00:00Z
TSM-US,TSM-US_FY2025_Q3,2025,Q3,2025-09-30,FF_SALES,541524.52,TWD,16787.26,FDB_FF,2026-03-04T23:00:00Z
TSM-US,TSM-US_FY2025_Q4,2025,Q4,2025-12-31,FF_SALES,530469.85,TWD,16444.57,FDB_FF,2026-03-04T23:00:00Z
ORCL-US,ORCL-US_FY2021_A,2021,FY,2021-05-31,FF_SALES,42604.33,USD,42604.33,FDB_FF,2026-03-04T23:00:00Z
ORCL-US,ORCL-US_FY2021_Q1,2021,Q1,2020-08-31,FF_SALES,10389.71,USD,10389.71,FDB_FF,2026-03-04T23:00:00Z
ORCL-US,ORCL-US_FY2021_Q2,2021,Q2,2020-11-30,FF_SALES,10115.9,USD,10115.9,FDB_FF,2026-03-04T23:00:00Z
