entity_id,estimate_date,metric,value,currency,value_usd,num_analysts,source,load_timestamp
COST-US,2026-03-01,FE_SALES_NTM,236481.68,USD,236481.68,35,FDB_FE,2026-03-04T23:00:00Z
ACN-US,2026-03-01,FE_SALES_NTM,61324.53,USD,61324.53,22,FDB_FE,2026-03-04T23:00:00Z
FIS-US,2026-03-01,FE_SALES_NTM,11284.16,USD,11284.16,21,FDB_FE,2026-03-04T23:00:00Z
7203-JP,2026-03-01,FE_SALES_NTM,4.827099167E7,JPY,323415.64,38,FDB_FE,2026-03-04T23:00:00Z
SAP-DE,2026-03-01,FE_SALES_NTM,29936.14,EUR,32331.04,26,FDB_FE,2026-03-04T23:00:00Z
HSBA-GB,2026-03-01,FE_SALES_NTM,76342.94,GBP,96955.54,13,FDB_FE,2026-03-04T23:00:00Z
NESN-CH,2026-03-01,FE_SALES_NTM,96375.19,CHF,108903.97,23,FDB_FE,2026-03-04T23:00:00Z
005930-KR,2026-03-01,FE_SALES_NTM,3.0950679614E8,KRW,232130.1,38,FDB_FE,2026-03-04T23:00:00Z
AZN-GB,2026-03-01,FE_SALES_NTM,60223.83,GBP,76484.27,13,FDB_FE,2026-03-04T23:00:00Z
SHEL-GB,2026-03-01,FE_SALES_NTM,319700.29,GBP,406019.37,37,FDB_FE,2026-03-04T23:00:00Z
TTE-FR,2026-03-01,FE_SALES_NTM,246874.63,EUR,266624.6,30,FDB_FE,2026-03-04T23:00:00Z
NOVO-DK,2026-03-01,FE_SALES_NTM,337276.79,DKK,48905.13,16,FDB_FE,2026-03-04T23:00:00Z
RY-CA,2026-03-01,FE_SALES_NTM,60327.55,CAD,44642.38,26,FDB_FE,2026-03-04T23:00:00Z
SNPS-US,2026-03-01,FE_SALES_NTM,5543.5,USD,5543.5,6,FDB_FE,2026-03-04T23:00:00Z
CDNS-US,2026-03-01,FE_SALES_NTM,5078.83,USD,5078.83,15,FDB_FE,2026-03-04T23:00:00Z
MCHP-US,2026-03-01,FE_SALES_NTM,5361.23,USD,5361.23,11,FDB_FE,2026-03-04T23:00:00Z
KEYS-US,2026-03-01,FE_SALES_NTM,5271.84,USD,5271.84,5,FDB_FE,2026-03-04T23:00:00Z
IT-US,2026-03-01,FE_SALES_NTM,5483.7,USD,5483.7,15,FDB_FE,2026-03-04T23:00:00Z
PAYC-US,2026-03-01,FE_SALES_NTM,1957.13,USD,1957.13,10,FDB_FE,2026-03-04T23:00:00Z
DDOG-US,2026-03-01,FE_SALES_NTM,2890.8,USD,2890.8,6,FDB_FE,2026-03-04T23:00:00Z
SNOW-US,2026-03-01,FE_SALES_NTM,3482.48,USD,3482.48,13,FDB_FE,2026-03-04T23:00:00Z
PLTR-US,2026-03-01,FE_SALES_NTM,3069.74,USD,3069.74,10,FDB_FE,2026-03-04T23:00:00Z
COIN-US,2026-03-01,FE_SALES_NTM,6134.74,USD,6134.74,8,FDB_FE,2026-03-04T23:00:00Z
TGT-US,2026-03-01,FE_SALES_NTM,114341.41,USD,114341.41,25,FDB_FE,2026-03-04T23:00:00Z
INTU-US,2026-03-01,FE_SALES_NTM,18304.72,USD,18304.72,27,FDB_FE,2026-03-04T23:00:00Z
SYK-US,2026-03-01,FE_SALES_NTM,22616.91,USD,22616.91,15,FDB_FE,2026-03-04T23:00:00Z
PANW-US,2026-03-01,FE_SALES_NTM,7929.44,USD,7929.44,9,FDB_FE,2026-03-04T23:00:00Z
FDS-US,2026-03-01,FE_SALES_NTM,2078.81,USD,2078.81,8,FDB_FE,2026-03-04T23:00:00Z
