entity_id,estimate_date,period_type,eps_mean,eps_high,eps_low,num_analysts,currency
MCHP-US,2025-03-01,FY1,6.3,7.25,5.35,31,USD
MCHP-US,2025-03-01,FY2,6.72,7.73,5.71,31,USD
KEYS-US,2025-03-01,NTM,10.97,12.62,9.32,25,USD
KEYS-US,2025-03-01,FY1,11.52,13.25,9.79,25,USD
KEYS-US,2025-03-01,FY2,12.29,14.13,10.45,25,USD
IT-US,2025-03-01,NTM,3.62,4.16,3.08,29,USD
IT-US,2025-03-01,FY1,3.8,4.37,3.23,29,USD
IT-US,2025-03-01,FY2,4.05,4.66,3.44,29,USD
PAYC-US,2025-03-01,NTM,11.71,13.47,9.95,27,USD
PAYC-US,2025-03-01,FY1,12.3,14.15,10.46,27,USD
PAYC-US,2025-03-01,FY2,13.12,15.09,11.15,27,USD
DDOG-US,2025-03-01,NTM,8.15,9.37,6.93,22,USD
DDOG-US,2025-03-01,FY1,8.56,9.84,7.28,22,USD
DDOG-US,2025-03-01,FY2,9.13,10.5,7.76,22,USD
SNOW-US,2025-03-01,NTM,11.44,13.16,9.72,20,USD
SNOW-US,2025-03-01,FY1,12.01,13.81,10.21,20,USD
SNOW-US,2025-03-01,FY2,12.81,14.73,10.89,20,USD
PLTR-US,2025-03-01,NTM,5.56,6.39,4.73,22,USD
PLTR-US,2025-03-01,FY1,5.84,6.72,4.96,22,USD
PLTR-US,2025-03-01,FY2,6.23,7.16,5.3,22,USD
COIN-US,2025-03-01,NTM,7.65,8.8,6.5,21,USD
COIN-US,2025-03-01,FY1,8.03,9.23,6.83,21,USD
COIN-US,2025-03-01,FY2,8.57,9.86,7.28,21,USD
TGT-US,2025-03-01,NTM,7.19,8.27,6.11,24,USD
TGT-US,2025-03-01,FY1,7.55,8.68,6.42,24,USD
TGT-US,2025-03-01,FY2,8.05,9.26,6.84,24,USD
INTU-US,2025-03-01,NTM,3.11,3.58,2.64,30,USD
INTU-US,2025-03-01,FY1,3.27,3.76,2.78,30,USD
INTU-US,2025-03-01,FY2,3.48,4.0,2.96,30,USD
SYK-US,2025-03-01,NTM,17.07,19.63,14.51,28,USD
SYK-US,2025-03-01,FY1,17.92,20.61,15.23,28,USD
SYK-US,2025-03-01,FY2,19.12,21.99,16.25,28,USD
PANW-US,2025-03-01,NTM,8.07,9.28,6.86,24,USD
PANW-US,2025-03-01,FY1,8.47,9.74,7.2,24,USD
PANW-US,2025-03-01,FY2,9.04,10.4,7.68,24,USD
FDS-US,2025-03-01,NTM,14.55,16.73,12.37,21,USD
FDS-US,2025-03-01,FY1,15.28,17.57,12.99,21,USD
FDS-US,2025-03-01,FY2,16.3,18.75,13.86,21,USD
